[INFO][2021-06-09 20:22:12,045][MyTest1]info:进入了test_log4j
[DEBUG][2021-06-10 20:29:41,479][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:29:41,484][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:29:41,531][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:29:41,532][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:29:41,532][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:29:41,533][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:29:41,794][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Opening JDBC Connection
[DEBUG][2021-06-10 20:29:42,737][org.apache.ibatis.datasource.pooled.PooledDataSource]Created connection 187457031.
[DEBUG][2021-06-10 20:29:42,738][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Setting autocommit to false on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@b2c5e07]
[DEBUG][2021-06-10 20:29:42,746][com.com.kuang.dao.UserMapper2.getUserByLimit]==>  Preparing: select * from mybatis.user limit ?,?
[DEBUG][2021-06-10 20:29:42,799][com.com.kuang.dao.UserMapper2.getUserByLimit]==> Parameters: 2(Integer), 2(Integer)
[DEBUG][2021-06-10 20:29:42,887][com.com.kuang.dao.UserMapper2.getUserByLimit]<==      Total: 2
[DEBUG][2021-06-10 20:29:42,891][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Resetting autocommit to true on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@b2c5e07]
[DEBUG][2021-06-10 20:29:42,892][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Closing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@b2c5e07]
[DEBUG][2021-06-10 20:29:42,893][org.apache.ibatis.datasource.pooled.PooledDataSource]Returned connection 187457031 to pool.
[DEBUG][2021-06-10 20:30:17,804][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:30:17,811][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:30:17,872][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:30:17,872][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:30:17,873][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:30:17,873][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:30:18,132][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Opening JDBC Connection
[DEBUG][2021-06-10 20:30:18,961][org.apache.ibatis.datasource.pooled.PooledDataSource]Created connection 701119748.
[DEBUG][2021-06-10 20:30:18,961][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Setting autocommit to false on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@29ca3d04]
[DEBUG][2021-06-10 20:30:18,968][com.com.kuang.dao.UserMapper2.getUserByLimit]==>  Preparing: select * from mybatis.user limit ?,?
[DEBUG][2021-06-10 20:30:19,030][com.com.kuang.dao.UserMapper2.getUserByLimit]==> Parameters: 2(Integer), 2(Integer)
[DEBUG][2021-06-10 20:30:19,108][com.com.kuang.dao.UserMapper2.getUserByLimit]<==      Total: 2
[DEBUG][2021-06-10 20:30:19,111][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Resetting autocommit to true on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@29ca3d04]
[DEBUG][2021-06-10 20:30:19,113][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Closing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@29ca3d04]
[DEBUG][2021-06-10 20:30:19,114][org.apache.ibatis.datasource.pooled.PooledDataSource]Returned connection 701119748 to pool.
[DEBUG][2021-06-10 20:30:52,643][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:30:52,647][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:30:52,698][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:30:52,699][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:30:52,700][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:30:52,701][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:30:52,964][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Opening JDBC Connection
[DEBUG][2021-06-10 20:30:53,847][org.apache.ibatis.datasource.pooled.PooledDataSource]Created connection 187457031.
[DEBUG][2021-06-10 20:30:53,848][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Setting autocommit to false on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@b2c5e07]
[DEBUG][2021-06-10 20:30:53,856][com.com.kuang.dao.UserMapper2.getUserByLimit]==>  Preparing: select * from mybatis.user limit ?,?
[DEBUG][2021-06-10 20:30:53,921][com.com.kuang.dao.UserMapper2.getUserByLimit]==> Parameters: 2(Integer), 2(Integer)
[DEBUG][2021-06-10 20:30:54,001][com.com.kuang.dao.UserMapper2.getUserByLimit]<==      Total: 2
[DEBUG][2021-06-10 20:30:54,014][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Resetting autocommit to true on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@b2c5e07]
[DEBUG][2021-06-10 20:30:54,016][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Closing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@b2c5e07]
[DEBUG][2021-06-10 20:30:54,017][org.apache.ibatis.datasource.pooled.PooledDataSource]Returned connection 187457031 to pool.
[DEBUG][2021-06-10 20:47:10,609][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:47:10,616][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:47:10,678][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:47:10,680][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:47:10,681][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:47:10,682][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:47:43,010][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:47:43,015][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:47:43,063][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:47:43,063][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
